SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
34,2024-01-22,455.10,480.00,455.10,467.00,1.08,"73,672.00","34,544,341.80"
35,2024-01-21,466.10,475.00,460.10,462.00,-1.70,"58,884.00","27,511,577.50"
36,2024-01-18,475.00,478.00,465.20,470.00,-1.71,"69,298.00","32,618,608.60"
37,2024-01-17,484.20,501.00,478.20,478.20,-1.24,"119,396.00","58,068,114.20"
38,2024-01-16,470.00,490.00,470.00,484.20,2.37,"66,912.00","32,351,402.20"
39,2024-01-14,481.00,481.00,468.10,473.00,0.25,"64,542.00","30,500,158.50"
40,2024-01-11,503.00,505.90,487.00,495.40,-0.32,"93,969.00","46,734,366.60"
41,2024-01-10,510.00,512.20,495.00,497.00,-0.60,"81,612.00","40,938,837.10"
42,2024-01-09,504.90,516.00,498.00,500.00,1.01,"151,508.00","77,113,498.60"
43,2024-01-08,472.00,500.00,472.00,495.00,3.56,"82,470.00","40,646,343.60"
44,2024-01-07,482.50,490.10,476.10,478.00,-0.93,"109,394.00","52,816,987.30"
45,2024-01-04,500.00,503.00,482.50,482.50,-3.38,"144,263.00","71,082,002.30"
46,2024-01-03,491.00,502.00,477.00,499.40,1.71,"129,318.00","63,117,651.40"
47,2024-01-02,518.50,518.50,488.00,491.00,-7.18,"293,516.00","147,380,149.80"
48,2024-01-01,542.00,550.80,528.00,529.00,-2.76,"118,403.00","63,624,601.20"
49,2023-12-28,533.10,550.00,533.10,544.00,0.70,"120,526.00","65,285,766.00"
50,2023-12-27,540.00,555.00,539.00,540.20,0.04,"146,104.00","79,552,798.50"
51,2023-12-24,531.00,566.10,522.00,540.00,1.69,"214,746.00","117,761,266.20"
52,2023-12-21,550.00,550.00,531.00,531.00,-3.01,"138,296.00","74,299,806.50"
53,2023-12-20,550.00,567.00,547.00,547.50,-1.88,"153,173.00","84,809,512.10"
54,2023-12-19,515.20,563.00,515.20,558.00,7.72,"193,036.00","102,897,223.20"
55,2023-12-18,519.20,530.00,515.10,518.00,-0.23,"113,685.00","59,433,385.80"
56,2023-12-17,510.10,519.20,490.00,519.20,1.78,"143,085.00","72,897,042.90"
57,2023-12-14,508.00,520.00,500.00,510.10,-1.53,"148,129.00","75,821,565.10"
58,2023-12-13,525.00,533.50,510.00,518.00,-0.97,"140,605.00","73,278,361.40"
59,2023-12-12,494.00,532.00,492.00,523.10,5.83,"213,327.00","110,415,481.50"
60,2023-12-11,500.00,503.80,480.20,494.30,-0.14,"296,185.00","145,676,988.60"
61,2023-12-10,477.00,499.80,477.00,495.00,5.77,"30,869.00","15,221,728.80"
62,2023-12-07,473.00,480.00,465.00,468.00,-2.90,"202,661.00","95,468,796.60"
63,2023-12-06,461.00,482.00,458.30,482.00,4.56,"122,992.00","57,985,795.60"
64,2023-12-05,458.70,473.00,455.00,461.00,2.49,"176,066.00","81,826,608.20"
65,2023-12-04,440.00,455.00,438.10,449.80,2.23,"116,797.00","52,529,751.80"
66,2023-12-03,435.00,445.00,434.00,440.00,0.00,"63,343.00","27,713,940.50"
67,2023-11-30,431.20,443.50,431.20,440.00,0.00,"66,153.00","29,062,164.80"
68,2023-11-29,448.00,456.00,435.00,440.00,-1.83,"95,304.00","42,531,105.30"
69,2023-11-28,443.00,456.00,443.00,448.20,-0.40,"99,371.00","44,631,775.10"
70,2023-11-27,445.00,462.00,445.00,450.00,-0.66,"143,945.00","64,849,049.70"
71,2023-11-26,430.00,455.00,425.00,453.00,5.35,"141,953.00","63,486,306.10"
72,2023-11-23,400.20,434.00,400.20,430.00,5.86,"125,720.00","53,044,485.00"
73,2023-11-22,389.10,409.00,389.10,406.20,2.58,"45,978.00","18,492,671.80"
74,2023-11-21,402.00,406.00,394.00,396.00,-2.56,"46,023.00","18,385,221.60"
75,2023-11-20,405.00,415.50,401.20,406.40,0.20,"56,840.00","23,247,296.80"
76,2023-11-09,406.20,411.10,398.50,405.60,-1.79,"41,773.00","16,982,005.00"
77,2023-11-08,400.00,413.80,397.00,413.00,2.48,"53,030.00","21,683,603.50"
78,2023-11-07,383.50,403.20,382.00,403.00,5.03,"56,868.00","22,591,905.50"
79,2023-11-06,375.00,387.00,375.00,383.70,1.51,"37,391.00","14,339,717.60"
80,2023-11-05,381.30,381.30,375.20,378.00,-1.05,"36,349.00","13,709,754.00"
81,2023-11-02,381.30,389.00,381.30,382.00,-1.80,"37,752.00","14,503,985.10"
82,2023-11-01,386.00,395.00,386.00,389.00,-0.51,"38,011.00","14,827,242.20"
83,2023-10-31,391.00,394.00,389.10,391.00,0.00,"31,696.00","12,396,059.50"
84,2023-10-30,390.00,393.80,388.50,391.00,-0.76,"35,285.00","13,779,562.60"
85,2023-10-29,396.20,400.00,390.00,394.00,-2.48,"58,403.00","23,004,183.10"
86,2023-10-19,402.00,409.30,400.10,404.00,-0.74,"34,627.00","13,989,639.50"
87,2023-10-18,399.00,409.50,396.00,407.00,2.01,"45,507.00","18,396,035.80"
88,2023-10-17,395.00,407.00,394.20,399.00,1.50,"41,125.00","16,358,464.30"
89,2023-10-16,405.10,408.00,390.60,393.10,-4.12,"92,874.00","36,723,268.00"
90,2023-10-12,415.10,420.00,408.00,410.00,-1.75,"79,060.00","32,533,453.30"
91,2023-10-11,413.60,425.00,413.60,417.30,-0.22,"60,228.00","25,177,970.80"
92,2023-10-10,420.00,429.90,418.00,418.20,-1.51,"61,914.00","26,067,057.00"
93,2023-10-09,430.00,433.00,424.10,424.60,-1.78,"69,000.00","29,438,943.50"
94,2023-10-08,442.00,444.00,431.00,432.30,-2.19,"104,649.00","45,503,056.90"
95,2023-10-05,447.70,447.70,441.10,442.00,-1.27,"99,886.00","44,331,701.20"
96,2023-10-04,437.10,454.20,437.10,447.70,0.38,"154,840.00","69,363,122.20"
97,2023-10-03,446.00,450.00,445.00,446.00,-1.09,"125,451.00","55,970,652.00"
98,2023-10-02,450.00,457.00,442.10,450.90,-1.38,"287,052.00","128,964,045.30"
99,2023-10-01,508.00,508.00,457.20,457.20,0.00,"318,724.00","147,360,743.60"
