SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
41,2023-12-21,481.40,481.40,460.00,462.00,-2.12,"166,159.00","77,581,183.20"
42,2023-12-20,465.00,485.00,461.00,472.00,1.51,"291,942.00","139,017,463.40"
43,2023-12-19,456.90,467.00,442.00,465.00,3.79,"183,744.00","83,587,548.90"
44,2023-12-18,461.00,461.20,445.10,448.00,-0.88,"198,139.00","90,002,828.70"
45,2023-12-17,438.00,453.00,429.00,452.00,1.35,"154,905.00","68,901,091.20"
46,2023-12-14,439.20,454.60,439.20,446.00,-0.45,"67,755.00","30,234,972.10"
47,2023-12-13,466.10,466.10,442.00,448.00,-1.97,"179,440.00","81,406,799.90"
48,2023-12-12,426.00,463.00,426.00,457.00,5.30,"205,550.00","92,737,406.70"
49,2023-12-11,445.00,446.00,426.00,434.00,-0.91,"219,288.00","95,760,909.40"
50,2023-12-10,421.00,440.00,421.00,438.00,6.10,"38,433.00","16,741,973.60"
51,2023-12-07,412.00,420.00,410.20,412.80,-0.51,"72,867.00","30,237,286.90"
52,2023-12-06,408.00,420.00,408.00,414.90,1.69,"44,847.00","18,539,970.90"
53,2023-12-05,423.00,424.90,408.00,408.00,-1.66,"62,043.00","25,796,867.60"
54,2023-12-04,410.00,421.00,410.00,414.90,0.70,"75,858.00","31,555,824.80"
55,2023-12-03,405.00,413.10,404.00,412.00,0.49,"48,752.00","19,932,363.00"
56,2023-11-30,414.00,415.00,406.70,410.00,-1.20,"43,788.00","17,966,456.00"
57,2023-11-29,416.10,429.00,410.00,415.00,-1.89,"44,527.00","18,547,790.70"
58,2023-11-28,425.00,430.50,421.00,423.00,-0.24,"60,147.00","25,528,067.80"
59,2023-11-27,439.60,439.60,421.00,424.00,-1.62,"91,466.00","39,252,907.20"
60,2023-11-26,411.60,435.00,402.10,431.00,6.79,"130,475.00","55,101,805.70"
61,2023-11-23,383.10,406.00,383.10,403.60,3.49,"77,559.00","30,866,122.40"
62,2023-11-22,384.00,392.00,380.00,390.00,1.56,"21,601.00","8,368,427.80"
63,2023-11-21,394.00,394.00,380.30,384.00,-1.51,"24,805.00","9,539,723.10"
64,2023-11-20,380.00,400.50,380.00,389.90,2.34,"45,770.00","17,905,806.30"
65,2023-11-09,392.00,392.00,377.00,381.00,-1.04,"25,882.00","9,815,195.80"
66,2023-11-08,380.00,391.00,380.00,385.00,0.05,"22,308.00","8,611,334.20"
67,2023-11-07,374.00,388.00,374.00,384.80,1.69,"18,421.00","7,089,404.50"
68,2023-11-06,371.10,383.90,371.10,378.40,1.18,"23,003.00","8,714,646.20"
69,2023-11-05,374.00,376.00,368.50,374.00,-0.53,"24,374.00","9,044,654.90"
70,2023-11-02,380.70,382.00,375.20,376.00,-1.23,"20,471.00","7,757,372.80"
71,2023-11-01,380.00,388.80,380.00,380.70,-1.12,"21,050.00","8,088,174.80"
72,2023-10-31,390.00,394.00,385.00,385.00,-1.28,"16,640.00","6,427,869.20"
73,2023-10-30,383.00,392.00,383.00,390.00,0.52,"14,522.00","5,635,774.80"
74,2023-10-29,395.00,397.00,388.00,388.00,-2.51,"23,581.00","9,231,057.90"
75,2023-10-19,404.50,408.60,393.00,398.00,-0.15,"55,758.00","22,440,775.30"
76,2023-10-18,381.20,410.90,381.20,398.60,2.49,"44,965.00","17,778,215.30"
77,2023-10-17,390.00,399.40,386.00,388.90,1.28,"25,921.00","10,094,710.20"
78,2023-10-16,392.00,392.00,383.10,384.00,-2.54,"37,163.00","14,367,745.30"
79,2023-10-12,400.00,405.00,393.10,394.00,-1.99,"35,159.00","13,964,126.20"
80,2023-10-11,400.00,409.00,398.00,402.00,0.25,"35,531.00","14,257,269.00"
81,2023-10-10,406.00,407.00,400.00,401.00,-1.21,"42,660.00","17,132,428.70"
82,2023-10-09,403.00,412.00,403.00,405.90,-0.02,"43,927.00","17,825,696.00"
83,2023-10-08,416.50,420.00,406.00,406.00,-2.52,"88,570.00","36,313,045.00"
84,2023-10-05,415.00,421.00,414.20,416.50,-0.22,"21,852.00","9,100,920.30"
85,2023-10-04,412.10,424.00,412.10,417.40,0.58,"24,365.00","10,238,747.20"
86,2023-10-03,412.60,420.00,412.60,415.00,-0.95,"24,559.00","10,241,083.80"
87,2023-10-02,418.00,423.00,413.00,419.00,0.02,"34,787.00","14,575,642.70"
88,2023-10-01,425.10,430.00,417.00,418.90,-2.47,"78,244.00","32,859,595.40"
89,2023-09-27,440.00,445.70,426.10,429.50,-1.72,"36,388.00","15,645,152.70"
90,2023-09-26,431.00,439.80,430.00,437.00,1.86,"48,431.00","21,033,577.70"
91,2023-09-25,432.00,435.50,427.00,429.00,-0.69,"54,854.00","23,512,948.90"
92,2023-09-24,435.00,449.90,432.00,432.00,-1.89,"71,889.00","31,499,402.70"
