SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
70,2023-11-27,527.30,527.30,506.60,514.00,-0.58,"17,858.00","9,169,673.10"
71,2023-11-26,490.00,518.00,490.00,517.00,4.23,"33,278.00","17,024,805.30"
72,2023-11-23,467.00,498.00,467.00,496.00,4.25,"15,648.00","7,613,603.10"
73,2023-11-22,465.00,475.90,465.00,475.80,1.26,"10,236.00","4,811,276.60"
74,2023-11-21,483.40,483.40,466.10,469.90,-0.86,"9,082.00","4,251,714.20"
75,2023-11-20,470.00,476.40,468.00,474.00,1.28,"9,409.00","4,424,809.80"
76,2023-11-09,470.00,479.60,465.00,468.00,-1.89,"6,263.00","2,934,406.20"
77,2023-11-08,470.40,480.00,470.40,477.00,-0.63,"5,714.00","2,709,924.20"
78,2023-11-07,468.00,485.00,468.00,480.00,0.63,"12,041.00","5,782,265.80"
79,2023-11-06,468.00,480.00,468.00,477.00,1.92,"3,214.00","1,523,179.60"
80,2023-11-05,476.00,476.00,460.00,468.00,-1.89,"7,426.00","3,453,122.50"
81,2023-11-02,481.00,481.00,469.00,477.00,-0.83,"32,374.00","15,345,200.00"
82,2023-11-01,472.00,487.00,472.00,481.00,0.21,"15,338.00","7,346,498.90"
83,2023-10-31,490.00,498.00,479.30,480.00,-3.96,"35,212.00","17,011,487.90"
84,2023-10-30,486.30,499.90,482.00,499.80,0.77,"4,293.00","2,101,865.30"
85,2023-10-29,504.00,504.00,490.00,496.00,-1.78,"7,162.00","3,532,247.30"
86,2023-10-19,510.00,516.00,505.00,505.00,-2.32,"5,618.00","2,857,686.00"
87,2023-10-18,506.90,517.00,491.00,517.00,3.82,"19,289.00","9,845,156.70"
88,2023-10-17,490.00,509.70,490.00,498.00,1.24,"10,296.00","5,160,839.20"
89,2023-10-16,498.00,509.00,491.00,491.90,-2.57,"15,405.00","7,629,593.50"
90,2023-10-12,505.70,507.90,500.70,504.90,-1.17,"13,946.00","7,004,483.90"
91,2023-10-11,500.00,512.00,498.00,510.90,0.57,"20,094.00","10,140,937.60"
92,2023-10-10,514.80,517.90,500.30,508.00,-1.32,"19,313.00","9,790,589.90"
93,2023-10-09,520.00,525.00,507.00,514.80,-0.79,"18,814.00","9,629,676.70"
94,2023-10-08,528.90,528.90,515.00,518.90,-2.15,"19,025.00","9,905,199.60"
95,2023-10-05,535.00,536.00,530.10,530.30,-1.61,"27,690.00","14,747,146.00"
96,2023-10-04,528.00,543.00,528.00,539.00,1.32,"6,695.00","3,584,799.80"
97,2023-10-03,535.00,540.00,531.00,532.00,-1.37,"15,132.00","8,050,288.50"
98,2023-10-02,525.00,542.90,524.00,539.40,1.11,"18,948.00","10,096,716.10"
99,2023-10-01,537.10,537.70,530.00,533.50,-2.02,"17,303.00","9,215,395.00"
100,2023-09-27,565.00,565.00,544.00,544.50,-1.93,"17,287.00","9,445,259.40"
101,2023-09-26,561.90,563.00,554.00,555.20,0.58,"21,309.00","11,878,629.90"
102,2023-09-25,546.00,564.90,546.00,552.00,-0.90,"24,837.00","13,787,003.20"
103,2023-09-24,561.00,565.00,548.10,557.00,-0.36,"37,227.00","20,765,233.90"
104,2023-09-21,544.70,566.20,536.00,559.00,4.66,"41,568.00","23,075,471.80"
105,2023-09-19,540.00,554.90,525.00,534.10,0.77,"21,071.00","11,365,477.30"
106,2023-09-18,525.00,535.00,525.00,530.00,0.38,"12,099.00","6,421,628.70"
107,2023-09-17,546.00,546.00,528.00,528.00,-4.17,"25,930.00","13,876,318.30"
108,2023-09-13,533.00,551.90,532.00,551.00,3.38,"19,979.00","10,909,241.40"
109,2023-09-12,531.20,542.90,528.30,533.00,-0.56,"26,699.00","14,316,986.20"
110,2023-09-11,517.00,542.00,517.00,536.00,3.43,"17,542.00","9,332,829.00"
111,2023-09-10,517.00,525.00,517.00,518.20,0.82,"24,496.00","12,728,372.40"
112,2023-09-07,520.00,525.00,514.00,514.00,-1.72,"26,241.00","13,520,409.10"
113,2023-09-05,536.90,539.00,520.10,523.00,-1.32,"21,893.00","11,479,275.70"
114,2023-09-04,532.00,537.90,523.00,530.00,-0.04,"26,996.00","14,277,552.10"
115,2023-09-03,535.90,546.70,530.00,530.20,-2.89,"25,530.00","13,684,149.00"
116,2023-08-30,547.00,554.00,542.00,546.00,-0.18,"20,328.00","11,072,824.00"
117,2023-08-29,535.50,547.90,535.50,547.00,0.90,"15,655.00","8,531,783.50"
118,2023-08-28,549.00,550.00,541.00,542.10,-0.17,"19,672.00","10,744,426.50"
119,2023-08-27,553.00,553.00,539.10,543.00,-1.09,"25,074.00","13,640,043.00"
120,2023-08-24,556.00,565.00,544.00,549.00,-2.16,"34,643.00","19,197,202.10"
121,2023-08-23,556.00,566.00,552.30,561.10,2.94,"25,125.00","14,118,510.50"
122,2023-08-22,557.00,559.90,539.00,545.10,-0.18,"32,843.00","17,897,879.30"
123,2023-08-21,548.00,558.90,546.10,546.10,-1.07,"31,811.00","17,509,075.20"
124,2023-08-20,560.00,566.00,550.00,552.00,-1.60,"26,869.00","14,875,818.20"
125,2023-08-17,566.00,567.00,555.00,561.00,1.08,"51,580.00","28,906,119.40"
126,2023-08-16,565.00,565.00,555.00,555.00,-2.12,"29,520.00","16,486,666.20"
127,2023-08-15,570.00,578.00,563.50,567.00,-2.39,"21,265.00","12,119,178.10"
128,2023-08-14,589.00,593.00,574.10,580.90,-0.53,"37,485.00","21,963,462.50"
129,2023-08-13,568.00,591.60,567.30,584.00,2.28,"56,695.00","32,844,714.10"
130,2023-08-10,575.00,580.00,565.00,571.00,0.53,"30,842.00","17,728,828.00"
131,2023-08-09,559.80,570.00,548.60,568.00,2.77,"46,538.00","25,816,294.70"
132,2023-08-08,570.00,574.00,548.20,552.70,-1.83,"47,564.00","26,481,757.10"
133,2023-08-07,570.00,579.10,561.60,563.00,-0.90,"23,362.00","13,298,825.20"
134,2023-08-06,589.00,590.00,561.20,568.10,-3.55,"47,743.00","27,225,489.20"
135,2023-08-03,595.50,607.40,583.40,589.00,0.86,"48,895.00","28,806,807.90"
136,2023-08-02,580.00,584.00,567.10,584.00,1.74,"34,799.00","20,044,622.40"
137,2023-08-01,599.50,610.90,568.00,574.00,-2.71,"62,212.00","36,266,230.80"
138,2023-07-31,580.10,600.00,580.00,590.00,1.71,"25,601.00","15,146,939.50"
139,2023-07-30,604.00,605.80,579.20,580.10,-2.34,"101,444.00","59,505,442.30"
140,2023-07-27,608.00,615.00,592.00,594.00,-2.30,"65,045.00","39,038,465.30"
141,2023-07-26,608.10,617.90,604.10,608.00,-0.16,"55,717.00","33,992,565.10"
142,2023-07-25,629.00,629.00,608.30,609.00,-2.40,"59,017.00","36,248,005.10"
143,2023-07-24,630.00,633.00,620.00,624.00,-0.95,"58,605.00","36,682,227.50"
144,2023-07-23,629.00,636.00,618.00,630.00,1.45,"48,763.00","30,630,924.10"
145,2023-07-20,620.00,635.90,618.10,621.00,-1.43,"49,922.00","31,087,993.00"
146,2023-07-19,621.10,639.80,621.10,630.00,-0.16,"54,187.00","34,149,167.50"
147,2023-07-18,630.00,640.20,621.00,631.00,1.45,"109,534.00","69,184,309.40"
148,2023-07-17,610.00,625.00,609.00,622.00,1.97,"42,837.00","26,480,422.10"
149,2023-07-16,623.80,627.90,604.70,610.00,-0.26,"42,814.00","26,293,965.30"
