SN,Date,Open,High,Low,LTP,CHANGE,Volume,Adjusted_Close
104,2023-09-21,540.00,554.00,538.10,543.20,1.15,"107,149.00","58,427,180.30"
105,2023-09-19,531.00,540.00,531.00,537.00,-0.56,"42,969.00","23,016,831.40"
106,2023-09-18,535.00,540.00,530.00,540.00,0.75,"45,272.00","24,206,897.00"
107,2023-09-17,553.00,555.00,535.30,536.00,-3.25,"86,027.00","46,586,887.90"
108,2023-09-13,540.00,555.30,540.00,554.00,2.37,"70,531.00","38,824,316.60"
109,2023-09-12,539.60,566.00,539.60,541.20,-1.60,"60,371.00","32,991,921.10"
110,2023-09-11,528.20,552.00,528.20,550.00,2.08,"63,895.00","34,930,948.30"
111,2023-09-10,540.10,549.90,535.60,538.80,-1.23,"72,788.00","39,331,365.60"
112,2023-09-07,551.10,551.10,544.30,545.50,-1.96,"57,647.00","31,488,083.10"
113,2023-09-05,559.00,560.00,552.00,556.40,-0.47,"50,793.00","28,241,754.20"
114,2023-09-04,540.00,559.00,540.00,559.00,3.27,"96,212.00","52,884,032.50"
115,2023-09-03,550.00,553.00,541.00,541.30,-1.44,"69,096.00","37,641,946.10"
116,2023-08-30,548.00,554.00,548.00,549.20,-0.31,"60,855.00","33,561,227.80"
117,2023-08-29,554.00,558.00,550.00,550.90,-0.65,"58,882.00","32,475,795.10"
118,2023-08-28,551.10,564.00,551.10,554.50,-0.63,"69,132.00","38,488,289.20"
119,2023-08-27,570.00,570.00,555.00,558.00,-2.14,"97,116.00","54,517,226.70"
120,2023-08-24,580.00,590.00,570.00,570.20,-1.54,"85,739.00","49,248,761.40"
121,2023-08-23,575.00,585.00,574.00,579.10,0.54,"94,254.00","54,642,813.70"
122,2023-08-22,567.00,579.00,567.00,576.00,-0.17,"61,149.00","35,115,293.50"
123,2023-08-21,580.00,582.90,572.10,577.00,-0.52,"101,241.00","58,377,288.50"
124,2023-08-20,583.00,585.00,578.00,580.00,-0.53,"114,230.00","66,301,070.70"
125,2023-08-17,575.00,590.00,571.00,583.10,1.07,"133,203.00","77,941,378.10"
126,2023-08-16,580.00,585.00,575.20,576.90,-0.71,"103,174.00","59,662,670.30"
127,2023-08-15,600.00,600.00,580.30,581.00,-1.51,"98,939.00","57,775,243.80"
128,2023-08-14,569.20,596.80,569.20,589.90,1.57,"191,385.00","112,441,979.60"
129,2023-08-13,590.00,595.00,580.00,580.80,-1.56,"182,198.00","106,195,208.60"
130,2023-08-10,604.00,609.00,583.00,590.00,-1.22,"141,998.00","84,078,844.80"
131,2023-08-09,598.00,600.70,571.20,597.30,1.41,"266,818.00","155,026,202.20"
132,2023-08-08,616.00,619.00,585.00,589.00,-4.38,"299,597.00","178,932,202.60"
133,2023-08-07,594.00,640.60,594.00,616.00,5.77,"701,803.00","436,259,348.00"
134,2023-08-06,529.50,582.40,529.50,582.40,9.99,"54,780.00","31,883,777.50"
